source,month,bucket,fills,rs30_bps
binance:PAXGUSDT,2024-10,touch,333261,0.5514
binance:PAXGUSDT,2024-10,2-5 bps,14077,1.7888
binance:PAXGUSDT,2024-10,5-10 bps,1983,2.9869
binance:PAXGUSDT,2024-10,10+ bps,1413,12.4329
binance:PAXGUSDT,2024-11,touch,474883,0.5286
binance:PAXGUSDT,2024-11,2-5 bps,18395,1.6912
binance:PAXGUSDT,2024-11,5-10 bps,3420,3.3075
binance:PAXGUSDT,2024-11,10+ bps,3006,14.0517
binance:PAXGUSDT,2024-12,touch,335360,0.5405
binance:PAXGUSDT,2024-12,2-5 bps,12277,1.2814
binance:PAXGUSDT,2024-12,5-10 bps,2009,2.7788
binance:PAXGUSDT,2024-12,10+ bps,1808,18.3584
binance:PAXGUSDT,2025-01,touch,247034,0.5704
binance:PAXGUSDT,2025-01,2-5 bps,8627,1.1993
binance:PAXGUSDT,2025-01,5-10 bps,1364,2.0923
binance:PAXGUSDT,2025-01,10+ bps,1108,10.1801
binance:PAXGUSDT,2025-02,touch,369330,-0.1086
binance:PAXGUSDT,2025-02,2-5 bps,16351,0.3596
binance:PAXGUSDT,2025-02,5-10 bps,3019,0.728
binance:PAXGUSDT,2025-02,10+ bps,3700,10.128
binance:PAXGUSDT,2025-03,touch,470317,0.7566
binance:PAXGUSDT,2025-03,2-5 bps,11216,0.075
binance:PAXGUSDT,2025-03,5-10 bps,1947,-1.4626
binance:PAXGUSDT,2025-03,10+ bps,1725,-4.2217
binance:PAXGUSDT,2025-04,touch,754560,-0.6767
binance:PAXGUSDT,2025-04,2-5 bps,14134,0.2433
binance:PAXGUSDT,2025-04,5-10 bps,1951,1.4221
binance:PAXGUSDT,2025-04,10+ bps,692,9.2466
binance:PAXGUSDT,2025-05,touch,597412,-0.5313
binance:PAXGUSDT,2025-05,0-2 bps,100057,-0.3505
binance:PAXGUSDT,2025-05,2-5 bps,21837,0.9199
binance:PAXGUSDT,2025-05,5-10 bps,8980,3.4578
binance:PAXGUSDT,2025-05,10+ bps,6047,12.4065
binance:PAXGUSDT,2025-06,touch,771282,-0.8595
binance:PAXGUSDT,2025-06,0-2 bps,205256,-0.5243
binance:PAXGUSDT,2025-06,2-5 bps,34284,0.6655
binance:PAXGUSDT,2025-06,5-10 bps,14132,3.111
binance:PAXGUSDT,2025-06,10+ bps,18613,29.4944
binance:PAXGUSDT,2025-07,touch,442016,-0.8119
binance:PAXGUSDT,2025-07,0-2 bps,99726,-0.7293
binance:PAXGUSDT,2025-07,2-5 bps,11631,0.088
binance:PAXGUSDT,2025-07,5-10 bps,4626,2.5967
binance:PAXGUSDT,2025-07,10+ bps,2941,8.6005
binance:PAXGUSDT,2025-08,touch,372052,-1.2598
binance:PAXGUSDT,2025-08,0-2 bps,95601,-0.7246
binance:PAXGUSDT,2025-08,2-5 bps,14456,0.2576
binance:PAXGUSDT,2025-08,5-10 bps,6703,2.89
binance:PAXGUSDT,2025-08,10+ bps,6770,12.6348
binance:PAXGUSDT,2025-09,touch,711930,-0.6725
binance:PAXGUSDT,2025-09,0-2 bps,203661,-0.3517
binance:PAXGUSDT,2025-09,2-5 bps,27798,0.9806
binance:PAXGUSDT,2025-09,5-10 bps,9694,3.7822
binance:PAXGUSDT,2025-09,10+ bps,5762,13.3208
binance:PAXGUSDT,2025-10,touch,2072203,-1.5085
binance:PAXGUSDT,2025-10,0-2 bps,873241,-0.6449
binance:PAXGUSDT,2025-10,2-5 bps,96573,1.0117
binance:PAXGUSDT,2025-10,5-10 bps,45832,3.4095
binance:PAXGUSDT,2025-10,10+ bps,44988,23.4701
binance:PAXGUSDT,2025-11,touch,1003868,-0.9033
binance:PAXGUSDT,2025-11,0-2 bps,435416,-0.6005
binance:PAXGUSDT,2025-11,2-5 bps,26824,1.0254
binance:PAXGUSDT,2025-11,5-10 bps,9699,3.5259
binance:PAXGUSDT,2025-11,10+ bps,3964,17.7117
binance:PAXGUSDT,2025-12,touch,806220,-0.8289
binance:PAXGUSDT,2025-12,0-2 bps,182812,-0.723
binance:PAXGUSDT,2025-12,2-5 bps,13925,0.6363
binance:PAXGUSDT,2025-12,5-10 bps,3782,3.3343
binance:PAXGUSDT,2025-12,10+ bps,1729,15.3842
binance:PAXGUSDT,2026-01,touch,1927207,-1.123
binance:PAXGUSDT,2026-01,0-2 bps,814528,-1.0237
binance:PAXGUSDT,2026-01,2-5 bps,83384,0.7836
binance:PAXGUSDT,2026-01,5-10 bps,28970,2.1474
binance:PAXGUSDT,2026-01,10+ bps,29227,17.0298
binance:PAXGUSDT,2026-02,touch,2372348,-1.453
binance:PAXGUSDT,2026-02,0-2 bps,1123889,-0.9312
binance:PAXGUSDT,2026-02,2-5 bps,104702,0.6814
binance:PAXGUSDT,2026-02,5-10 bps,27047,3.1695
binance:PAXGUSDT,2026-02,10+ bps,25315,18.3128
binance:PAXGUSDT,2026-03,touch,2400459,-1.4414
binance:PAXGUSDT,2026-03,0-2 bps,731154,-0.8481
binance:PAXGUSDT,2026-03,2-5 bps,51934,0.5476
binance:PAXGUSDT,2026-03,5-10 bps,18055,2.7853
binance:PAXGUSDT,2026-03,10+ bps,9647,9.1443
binance:PAXGUSDT,2026-04,touch,985506,-1.1606
binance:PAXGUSDT,2026-04,0-2 bps,299218,-0.6065
binance:PAXGUSDT,2026-04,2-5 bps,18400,0.6507
binance:PAXGUSDT,2026-04,5-10 bps,5564,1.78
binance:PAXGUSDT,2026-04,10+ bps,4465,9.3207
binance:PAXGUSDT,2026-05,touch,709582,-1.4816
binance:PAXGUSDT,2026-05,0-2 bps,199394,-0.4363
binance:PAXGUSDT,2026-05,2-5 bps,13530,1.1871
binance:PAXGUSDT,2026-05,5-10 bps,3563,4.1778
binance:PAXGUSDT,2026-05,10+ bps,2331,13.8285
binance:PAXGUSDT,2026-06,touch,796497,-1.145
binance:PAXGUSDT,2026-06,0-2 bps,164250,-0.5436
binance:PAXGUSDT,2026-06,2-5 bps,10004,0.9513
binance:PAXGUSDT,2026-06,5-10 bps,2436,4.3352
binance:PAXGUSDT,2026-06,10+ bps,1488,13.106
binance:PAXGUSDT,2026-07,touch,505263,-1.1023
binance:PAXGUSDT,2026-07,0-2 bps,83084,-0.4653
binance:PAXGUSDT,2026-07,2-5 bps,4946,1.3599
binance:PAXGUSDT,2026-07,5-10 bps,1239,4.4082
binance:PAXGUSDT,2026-07,10+ bps,736,9.3875
binance:PAXGUSDT,2026-08,touch,621848,-1.008
binance:PAXGUSDT,2026-08,0-2 bps,102132,-0.238
binance:PAXGUSDT,2026-08,2-5 bps,8323,1.1309
binance:PAXGUSDT,2026-08,5-10 bps,2069,4.1321
binance:PAXGUSDT,2026-08,10+ bps,628,13.9127
binance:PAXGUSDT,POOLED,touch,22456330,-1.0545
binance:PAXGUSDT,POOLED,0-2 bps,5713421,-0.7531
binance:PAXGUSDT,POOLED,2-5 bps,770051,0.875
binance:PAXGUSDT,POOLED,5-10 bps,258473,2.818
binance:PAXGUSDT,POOLED,10+ bps,230598,14.9767
binance:XAGUSDT,2026-01,touch,3738078,-0.9402
binance:XAGUSDT,2026-01,0-2 bps,500090,-0.1319
binance:XAGUSDT,2026-01,2-5 bps,162224,0.7528
binance:XAGUSDT,2026-01,5-10 bps,49849,2.4979
binance:XAGUSDT,2026-01,10+ bps,28472,10.1995
binance:XAGUSDT,2026-02,touch,7143611,-0.8252
binance:XAGUSDT,2026-02,0-2 bps,506318,-0.5965
binance:XAGUSDT,2026-02,2-5 bps,184947,0.5281
binance:XAGUSDT,2026-02,5-10 bps,46898,2.8174
binance:XAGUSDT,2026-02,10+ bps,21793,11.9735
binance:XAGUSDT,2026-03,touch,5765953,-0.6777
binance:XAGUSDT,2026-03,0-2 bps,216115,-0.0282
binance:XAGUSDT,2026-03,2-5 bps,69763,0.0789
binance:XAGUSDT,2026-03,5-10 bps,17926,2.2792
binance:XAGUSDT,2026-03,10+ bps,6833,10.7169
binance:XAGUSDT,2026-04,touch,2267777,-0.5787
binance:XAGUSDT,2026-04,0-2 bps,35805,0.065
binance:XAGUSDT,2026-04,2-5 bps,8484,0.8104
binance:XAGUSDT,2026-04,5-10 bps,2385,2.4258
binance:XAGUSDT,2026-04,10+ bps,731,10.2934
binance:XAGUSDT,2026-05,touch,2741637,-0.6226
binance:XAGUSDT,2026-05,0-2 bps,56553,-0.2469
binance:XAGUSDT,2026-05,2-5 bps,14438,-0.1726
binance:XAGUSDT,2026-05,5-10 bps,4280,2.0624
binance:XAGUSDT,2026-05,10+ bps,2279,7.8466
binance:XAGUSDT,2026-06,touch,2442316,-0.6504
binance:XAGUSDT,2026-06,0-2 bps,32816,0.1973
binance:XAGUSDT,2026-06,2-5 bps,5970,0.6032
binance:XAGUSDT,2026-06,5-10 bps,1353,3.813
binance:XAGUSDT,2026-06,10+ bps,287,6.3105
binance:XAGUSDT,2026-07,touch,1828083,-0.6206
binance:XAGUSDT,2026-07,0-2 bps,18973,-0.1462
binance:XAGUSDT,2026-07,2-5 bps,3370,-0.6607
binance:XAGUSDT,2026-07,5-10 bps,1760,-0.6489
binance:XAGUSDT,2026-07,10+ bps,541,3.4139
binance:XAGUSDT,2026-08,touch,2065954,-0.5157
binance:XAGUSDT,2026-08,0-2 bps,22051,0.2428
binance:XAGUSDT,2026-08,2-5 bps,5730,0.5493
binance:XAGUSDT,2026-08,5-10 bps,1904,1.4745
binance:XAGUSDT,2026-08,10+ bps,906,15.9376
binance:XAGUSDT,POOLED,touch,27993409,-0.6801
binance:XAGUSDT,POOLED,0-2 bps,1388721,-0.1991
binance:XAGUSDT,POOLED,2-5 bps,454926,0.389
binance:XAGUSDT,POOLED,5-10 bps,126355,2.419
binance:XAGUSDT,POOLED,10+ bps,61842,10.8184
binance:ZECUSDT,2023-09,touch,419355,-1.3209
binance:ZECUSDT,2023-09,2-5 bps,15183,0.8052
binance:ZECUSDT,2023-09,5-10 bps,2088,1.5772
binance:ZECUSDT,2023-09,10+ bps,1220,7.8189
binance:ZECUSDT,2023-10,touch,493086,-1.5847
binance:ZECUSDT,2023-10,2-5 bps,16476,0.5712
binance:ZECUSDT,2023-10,5-10 bps,2253,1.7309
binance:ZECUSDT,2023-10,10+ bps,1250,8.7789
binance:ZECUSDT,2023-11,touch,799997,-1.6714
binance:ZECUSDT,2023-11,2-5 bps,45968,1.3807
binance:ZECUSDT,2023-11,5-10 bps,8828,2.6333
